NUM	B/D	DAY	MON	YEA	H	MN	SEC	Ci	TZ	LAT	LON
8102	D	05	07	1948	04	0	0	08	-1	48N50	2E20
8103	B	21	10	1920	08	45	0		0	48N50	2E20
8104	D	18	08	1933	19	0	0	13	0	48N50	2E20
8105	B	12	09	1864	20	50	40		0	48N50	2E20
8106	D	04	04	1911	04	0	0	08	0	48N50	2E20
8107	B	04	01	1920	14	45	0		0	48N50	2E20
8108	D	21	07	1920	07	0	0	01	0	48N50	2E20
8109	B	20	01	1882	03	50	40		0	48N50	2E20
8110	D	27	03	1922	03	0	0	04	0	48N50	2E20
8111	B	02	09	1922	22	15	0		0	48N50	2E20
8112	D	24	10	1922	01	0	0	09	0	48N50	2E20
8113	B	01	08	1897	09	50	40		0	48N50	2E20
8114	D	06	02	1900	07	50	40	01	0	48N50	2E20
8115	B	20	08	1908	20	50	40		0	48N50	2E20
8116	D	06	06	1929	0	0	0	02	0	48N50	2E20
8117	B	24	08	1883	21	50	40		0	48N50	2E20
8118	D	05	08	1928	20	0	0	17	0	48N50	2E20
8119	B	28	07	1901	10	20	40		0	48N50	2E20
8120	D	14	08	1901	19	50	40	15	0	48N50	2E20
8121	B	10	03	1920	17	45	0		0	48N50	2E20
8122	D	02	04	1920	04	0	0	02	0	48N50	2E20
8123	B	17	04	1896	05	50	40		0	48N50	2E20
8124	D	13	09	1918	10	0	0	05	0	48N50	2E20
8125	B	02	03	1882	13	50	40		0	48N50	2E20
8126	D	14	01	1931	02	05	0	00	0	48N50	2E20
8127	B	19	05	1867	0	50	40		0	48N50	2E20
8128	D	01	04	1955	22	0	0	09	-1	48N50	2E20
8129	B	24	05	1927	16	0	0		0	48N50	2E20
8130	D	22	01	1948	02	50	0	07	-1	48N50	2E20
8131	B	24	07	1929	10	0	0		0	48N50	2E20
8132	D	12	10	1929	15	0	0	09	0	48N50	2E20
8133	B	22	12	1895	17	05	40		0	48N50	2E20
8134	D	24	05	1947	18	45	0	16	-1	48N50	2E20
8135	B	30	06	1899	10	50	40		0	48N50	2E20
8136	D	29	05	1900	0	05	40	06	0	48N50	2E20
8137	B	08	10	1919	04	0	0		0	48N50	2E20
8138	D	11	12	1919	11	0	0	05	0	48N50	2E20
8139	B	17	08	1877	06	50	40		0	48N50	2E20
8140	D	25	09	1901	09	50	40	01	0	48N50	2E20
8141	B	02	08	1876	05	50	40		0	48N50	2E20
8142	D	08	12	1910	04	50	40	07	0	48N50	2E20
8143	B	19	04	1865	17	50	40		0	48N50	2E20
8144	D	26	08	1902	11	50	40	05	0	48N50	2E20
8145	B	22	10	1908	23	15	40		0	48N50	2E20
8146	D	19	10	1932	05	0	0	05	0	48N50	2E20
8147	B	18	10	1915	03	0	0		0	48N50	2E20
8148	D	20	10	1915	14	0	0	14	0	48N50	2E20
8149	B	10	10	1921	15	10	0		0	48N50	2E20
8150	D	27	04	1945	19	45	0	01	0	48N50	2E20
8151	B	04	04	1932	15	30	0		0	48N50	2E20
8152	D	10	04	1932	03	0	0	06	0	48N50	2E20
8153	B	13	04	1878	05	50	40		0	48N50	2E20
8154	D	09	07	1920	15	0	0	06	0	48N50	2E20
8155	B	09	12	1879	19	50	40		0	48N50	2E20
8156	D	20	02	1948	03	30	0	02	-1	48N50	2E20
8157	B	20	07	1896	06	50	40		0	48N50	2E20
8158	D	17	08	1931	13	0	0	02	0	48N50	2E20
8159	B	14	02	1921	03	20	0		0	48N50	2E20
8160	D	02	11	1949	09	0	0	13	-1	48N50	2E20
8161	B	18	06	1897	12	50	40		0	48N50	2E20
8162	D	22	09	1900	06	50	40	06	0	48N50	2E20
8163	B	23	07	1885	21	50	40		0	48N50	2E20
8164	D	03	12	1947	07	0	0	01	-1	48N50	2E20
8165	B	15	11	1881	23	35	40		0	48N50	2E20
8166	D	14	08	1950	14	15	0	11	-1	48N50	2E20
8167	B	25	03	1899	16	50	40		0	48N50	2E20
8168	D	08	10	1955	08	45	0	06	-1	48N50	2E20
8169	B	01	12	1906	05	50	40		0	48N50	2E20
8170	D	26	01	1907	08	20	40	06	0	48N50	2E20
